"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"공중화장실",(의)세창의료재단우성병원,경기도 안산시 단원구 고잔로 58-10,경기도 안산시 단원구 고잔동 529-3,N,5,5,0,0,0,0,10,0,0,(의)세창의료재단,,00:00~24:00,,37.31840800,126.83200500,2019-08-01
"공중화장실",21세기병원,경기도 안산시 단원구 보화로 50,경기도 안산시 단원구 고잔동 616-2,N,6,6,9,9,0,0,7,5,0,21세기병원,,00:00~24:00,,37.33064980,126.83170398,2019-08-01
"공중화장실",CGV,경기도 안산시 단원구 광덕대로 194,경기도 안산시 단원구 고잔동 725-1,N,4,12,0,0,0,0,12,0,0,CGV,,00:00~24:00,,37.31342070,126.83100590,2019-08-01
"공중화장실",GS스타주유소,경기도 안산시 단원구 동산로 179,경기도 안산시 단원구 원곡동 616,N,0,0,2,2,0,0,0,1,0,GS칼텍스,,00:00~24:00,,37.31848797,126.80490774,2019-08-01
"공중화장실",IBK기업은행,경기도 안산시 단원구 별망로 424,경기도 안산시 단원구 목내동 489-2,N,6,10,0,0,0,0,8,0,0,IBK기업은행,,00:00~24:00,,37.30423941,126.77185760,2019-08-01
"공중화장실",SK동양주유소,경기도 안산시 단원구 중앙대로 351,경기도 안산시 단원구 신길동 1743,N,0,0,0,0,0,0,0,0,0,SK네트웍스,,00:00~24:00,,37.33328562,126.77976054,2019-08-01
"공중화장실",SK안산공원주유소,경기도 안산시 단원구 광덕1로 268,경기도 안산시 단원구 고잔동 779-1,N,1,2,1,1,0,0,1,1,0,SK네트웍스,,00:00~24:00,,37.30692434,126.83988296,2019-08-01
"공중화장실",SK안산충전소,경기도 안산시 상록구 선진안길 83,경기도 안산시 상록구 사동 1493,N,1,2,0,0,0,0,1,0,0,SK네트웍스,,00:00~24:00,,37.27769525,126.84851886,2019-08-01
"공중화장실",새천년주유소,경기도 안산시 단원구 정왕대로 424,경기도 안산시 단원구 신길동 249-20,N,1,1,0,0,0,0,1,0,0,SK네트웍스,,00:00~24:00,,37.33413350,126.75617140,2019-08-01
"공중화장실",SK팔곡주유소,경기도 안산시 상록구 해안로 1295,경기도 안산시 상록구 팔곡이동 445-4,N,2,1,0,0,0,0,2,0,0,SK네트웍스팔곡주유소,,00:00~24:00,,37.29335584,126.88404800,2019-08-01
"공중화장실",성포도서관,경기도 안산시 상록구 충장로 528,경기도 안산시 상록구 성포동 594-4,N,6,9,0,0,0,0,7,0,0,감골도서관장,,00:00~24:00,,37.32514130,126.85036770,2019-08-01
"공중화장실",본오도서관,경기도 안산시 상록구 각골로 49,경기도 안산시 상록구 본오동 778,N,2,2,4,4,0,0,6,2,0,감골도서관장,,00:00~24:00,,37.29399604,126.87229188,2019-08-01
"공중화장실",일동도서관,경기도 안산시 상록구 구룡로 71,경기도 안산시 상록구 일동 110-5,N,2,2,1,1,0,0,4,1,0,감골도서관장,,00:00~24:00,,37.31541280,126.87158323,2019-08-01
"공중화장실",감골도서관,경기도 안산시 상록구 감골공원안길 16-1,경기도 안산시 상록구 사동 1342-2,N,9,0,0,0,9,0,6,0,0,감골도서관장,,00:00~24:00,,37.29261860,126.85451124,2019-08-01
"공중화장실",강희그랜드빌,경기도 안산시 단원구 광덕대로 145,경기도 안산시 단원구 고잔동 717,N,9,12,0,0,0,0,9,0,0,강희그랜드빌번영회,,00:00~24:00,,37.30950407,126.82894130,2019-08-01
"공중화장실",굿모닝오피스텔,경기도 안산시 상록구 석호로 43,경기도 안산시 상록구 이동 712,N,28,7,0,0,0,0,28,0,0,강희자산관리㈜,,00:00~24:00,,37.30762694,126.84791530,2019-08-01
"공중화장실",데코스포텔,경기도 안산시 상록구 광덕1로 355,경기도 안산시 상록구 이동 714-3,N,6,6,1,1,0,0,6,1,0,강희자산관리㈜,,00:00~24:00,,37.30720300,126.84902470,2019-08-01
"공중화장실",수암주유소,경기도 안산시 상록구 원당골1길 23-14,경기도 안산시 상록구 수암동 465,N,2,1,0,0,0,0,2,0,0,개인,,00:00~24:00,,37.36516451,126.87707130,2019-08-01
"공중화장실",신반월주유소,경기도 안산시 상록구 건건1길 7,경기도 안산시 상록구 건건동 897-28,N,2,0,0,0,0,0,1,0,0,개인,,00:00~24:00,,37.30155789,126.90307420,2019-08-01
"공중화장실",안산IC충전소,경기도 안산시 상록구 가루개로 181,경기도 안산시 상록구 양상동 247,N,1,3,0,0,0,0,2,0,0,개인,,00:00~24:00,,37.34367601,126.85122130,2019-08-01
"공중화장실",신원프라자,경기도 안산시 단원구 광덕4로 102,경기도 안산시 단원구 고잔동 681-3,N,10,13,2,2,0,0,10,2,0,개인,,00:00~24:00,,37.31511414,126.82360410,2019-08-01
"공중화장실",디에스에이도금단지주유소,경기도 안산시 상록구 용담로 75,경기도 안산시 상록구 팔곡이동 70-3,N,2,2,0,0,0,0,3,0,0,개인,,00:00~24:00,,37.28708377,126.88698980,2019-08-01
"공중화장실",사동셀프주유소,경기도 안산시 상록구 선진로 11,경기도 안산시 상록구 사동 1486,N,1,1,0,0,0,0,2,0,0,개인,,00:00~24:00,,37.28072506,126.84750350,2019-08-01
"공중화장실",아이즈빌1오피스텔,경기도 안산시 단원구 고잔로 51,경기도 안산시 단원구 고잔동 527-4,N,5,8,1,1,0,0,8,1,0,개인,,00:00~24:00,,37.31950552,126.83194170,2019-08-01
"공중화장실",SK반월주유소,경기도 안산시 상록구 송호1길 33,경기도 안산시 상록구 이동 648,N,1,2,0,0,0,0,2,0,0,개인,,00:00~24:00,,37.31301525,126.84521140,2019-08-01
"공중화장실",본오주유소,경기도 안산시 상록구 석호로 369,경기도 안산시 상록구 본오동 782-1,N,2,1,0,0,0,0,2,0,0,개인,,00:00~24:00,,37.29346040,126.87177360,2019-08-01
"공중화장실",동해주유소,경기도 안산시 상록구 선진6길 38,경기도 안산시 상록구 사동 1496-9,N,1,2,0,0,0,0,1,0,0,개인,,00:00~24:00,,37.28130750,126.84693510,2019-08-01
"공중화장실",소망주유소,경기도 안산시 상록구 석호로 200,경기도 안산시 상록구 사동 1318-2,N,1,2,0,0,0,0,1,0,0,개인,,00:00~24:00,,37.29503521,126.85289158,2019-08-01
"공중화장실",신양주유소,경기도 안산시 상록구 월피로 84,경기도 안산시 상록구 월피동 466-6,N,2,2,0,0,0,0,1,0,0,개인,,00:00~24:00,,37.33562994,126.85278630,2019-08-01
"공중화장실",자연주유소,경기도 안산시 상록구 해안로 1172,경기도 안산시 상록구 본오동 33-2,N,2,2,0,0,0,0,2,0,0,개인,,00:00~24:00,,37.28850330,126.87223020,2019-08-01
"공중화장실",나이스헬스클럽(사이버빌딩),경기도 안산시 상록구 성포로 30,경기도 안산시 상록구 성포동 583-4,N,8,8,0,0,0,0,8,0,0,개인,,00:00~24:00,,37.32324010,126.84476744,2019-08-01
"공중화장실",성우주유소,경기도 안산시 상록구 안산천서로 277,경기도 안산시 상록구 월피동 481,N,1,1,0,0,0,0,1,0,0,개인,,00:00~24:00,,37.33799832,126.85021490,2019-08-01
"공중화장실",보은타운,경기도 안산시 상록구 양지편로 38,경기도 안산시 상록구 이동 715-11,N,14,21,0,0,0,0,14,0,0,개인,,00:00~24:00,,37.30944750,126.85146800,2019-08-01
"공중화장실",스마트허브주유소,경기도 안산시 단원구 해봉로 204,경기도 안산시 단원구 성곡동 598-5,N,3,1,0,0,0,0,3,0,0,개인,,00:00~24:00,,37.32083308,126.76464260,2019-08-01
"공중화장실",한창충전소,경기도 안산시 단원구 대선로 419,경기도 안산시 단원구 대부남동 309-30,N,2,1,2,2,0,0,2,1,0,개인,,00:00~24:00,,37.23665471,126.57264787,2019-08-01
"공중화장실",신길IC주유소,경기도 안산시 단원구 성곡로 279,경기도 안산시 단원구 신길동 1037-14,N,2,2,0,0,0,0,1,0,0,개인,,00:00~24:00,,37.32998219,126.76922700,2019-08-01
"공중화장실",상림주유소,경기도 안산시 상록구 서해로 2921,경기도 안산시 상록구 건건동 435-1,N,2,2,0,0,0,0,2,0,0,개인,,00:00~24:00,,37.31170173,126.91276180,2019-08-01
"공중화장실",해안주유소,경기도 안산시 상록구 선진6길 8,경기도 안산시 상록구 사동 1497-1,N,1,1,0,0,0,0,1,0,0,개인,,00:00~24:00,,37.28143400,126.84370310,2019-08-01
